Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,,General Notes
Tantrum,Enemies,Instant,Attack,Weapon,"If damage is dealt, consume an attack token and attack another target in range. If damage is dealt, attack another new target in range. repeat until an attack doesn't deal damage, or all targets in range are dealt damage",Exhaust,Just Shut Up Already,Enemy,X Rnds,Attack    X = Level ,Weapon,"If damage is dealt, you may consume an attack token. Target's Influence is lowered by X",Discard,2 Level Points,Str 4,,
Shared Shield Arm,Ally,1 Rnd,,Influence,Reduce your next defense value by up to X and grant it to an ally,Discord,Second Wind,Self,Instant,X = Level,-,Gain X health,Exhaust,2 Level Points,"Vig 3, Kno 1",,
Deadly Wake,Self,X Rnds,X = Level,-,"Gain 20 ft of movement. In a continuous path of length 15 ft you move through this turn, create an area of a damaging effect which deals Xd4 damage for each 5ft movement into, out of, or through it",Exhaust,Rude Lob,Self,Instant,X = Level,-,"Produce up to X consumables. These can be thrown up to 15 feet, and attack for 3d6 damage",Exhaust,2 Level Points,"Cra 2, Fin 2",,
Together in Death,Ally,X Rnds,X = Level,-,"Create a band between yourself and an ally up to 10 feet. All who exist in this band take 1d6 damage, undefended ",Exhaust,Charged Up,Ally,1 Rnd,X = level,-,Choose an adjacent ally. They may increase their attack and defense by 1d4,Discard,2 Level Points,"Spi 2, Cra 1, Fin 1",,
Compelling Story,Enemy,1 Rnd,Influence,Influence,"Upon success, target cannot target you with any actions directly. You may consume an influence token to prevent target from targeting an additional ally directly",Discard,Existential Dread,Enemy,X Rnds,Influence    X = Level,Influence,"On success, target cannot take actions and takes 1d4 damage each round. They must succeed another Influence contest to break free",Discard,2 Level Points,"Cha 3, Fin 1",,
Silence,Area,X Rnds,X = Level,Influence,Choose a circular area of diameter 15 feet. No sounds enter or leave from this area,Discard,Message In A...,Object,1 day,,-,"10 seconds of sounds can be stored in any object up to 1 ft sq in size. Information can be recalled at will, or with a passphrase spoken, within influence range",Discard,2 Level Points,Cra 4,,
Decay,Enemy,1 Rnd,Influence,Influence,"On success, consume an attack token. Target takes 2d4 damage and has -2 to all rolls",Discard,Burning,Enemy,,Influence,Influence,"On success, consume an attack token. Target takes 1d6 damage and catches fire, taking this damage every turn until they spend an action to put it out.",Discard,2 Level Points,"Cha 1, Fin 3",,
Pep Talk,Ally,X Rnds,X = Influence,Influence,Target gains X temporary hit points. you may consume an influence token to also increase their defense for 1 round by X,Exhaust,Remembering a Promise,Ally,Instant,,Influence,Ally may return 3 cards from discard,Discard,2 Level Points,"Kno 2, Spi 2",,
Giving Chase,Self,Instant,,Influence,Gain 20 ft. movement. You may consume a mark within range to gain an additional 20 ft.,Discard,Blood Trail,Enemy,X Rnds,Influence    X = Level,Influence,"On success, target's movement is reduced by 10 ft. for X rnds. You may discard a card to mark the target as well",Discard,2 Level Points,"Per 2, Fin 1, Cha 1",,
Shelter Friends,Allies,1 RND,X = Influence,-,"For all adjacent allies, if they take damage, you take that damage instead and reduce it by X",Exhaust,Healing Sap,Ally,Instant,X = Influence    Y = Level,Influence,Heal Target Ally for Y and lose X life,Discard,2 Level Points,"1 Vig, 3 Spi",,
