Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,,General Notes
River of Kowledge,Self,X Rnds,X = Level,-,"At the start of your turn, you may Exhaust a card from your deck and return a card from Discard to your hand",Discard,Trade Up,Self,Instant,,-,Discard a card and return three cards from discard to your hand,Discard,2 Level Points,7 Knowledge,,
Barricade,Area,Day,X = Level,Influence,Discard a card. Create a 1 by 5*X wall that is 15 feet high. It has 10 * X Health.,Discard,Improvised Explosive,,Instant ,,-,"Exhaust a card. Create a bomb consumable item that has an explosion radius of 10 feet, and has an Attack Value of 20.",Exhaust,2 Level Points,7 Craftmanship,,
Mud Pit,Area,Instant,Influence,Influence,Create an area that is 10 feet x 10 feet. Movement through this area is halved rounded down.,Discard,Bridge of Improvisation ,Area,Day,X = Level,influence,"Create a bridge between two points within X * 10 of each other. Exhaust this card, or exhaust a card from your deck.",Discard,2 Level Points,7 Craftmanship,,
Intently Concentrating ,Self,X Rnds,X = Level,-,You may have up to two more active cards in play,Discard,Big Brain Play,Self,X Rnds,X = Level    Y = Active cards in play,-,You have no limit on Active cards in play. Take Y damage at the end of your turn and discard a card. ,Exhaust ,2 Level Points,7 Vigor,,
Defense is Offense,Self,X Rnds,X = Level,-,Add your Defense Die to your Attack Rolls,Exhaust,Mastered Defense,Self,X Rnds,X = Level    Y = Excess value from successful block,-,If you block all damage from an attack then roll Y dice. If a number on the die is even the attacker takes 1 damage.,Hand,2 Level Points,4 Perception 2 vigor 1 finesse,,
Recovered Stature,Self,1 Rnd,,-,If you successfully block all damage of the nest attack against you then heal for the remaining defense value,Exhaust,Confidence Composed,Self,X Rnds,X = Level,-,"Once per round if you block all of an attack made against you, you may return a card from discard to your hand",Discard,2 Level Points,6 Vigor 1 knowledge,,
Catastrophic Mark,Enemy,Instant,Attack,Weapon,If you deal damage to a marked enemy you may remove that mark. If you remove the mark then each ally in range may make an attack against Target Enemy,Exhaust,Chosen for Pressure,Enemy,X Rnds,X = Level,-,You may remove a mark on Target Enemy at any time they make a roll value. If you do they must reroll that roll value; If they fail to succeed with this reroll then apply a mark to that Target Enemy,Discard,2 Level Points,3 perception 2 strength 2 charisma,,
Move Buster,Enemy,1 Rnd,Attack,Weapon,If you deal damage you may instead remove mark from Target Enemy. If you do then name an action they have taken and they cannot activate this action,Discard,Plan Extraction,Enemy,1 Rnd,Influence,Influence,If you succeed you may remove a mark and name an action Target Enemy has performed. If you do they cannot activate this action ,Discard,2 Level Points,3 perception 3 charisma 1 strength,,
Blow Cover,Enemy,X Rnds,Influence   X = level,Influence,"If you succeed you may Mark Target. If Target is within 10 feet of another enemy, that enemy is then also Marked.",Exhaust ,Critical Puncture,Enemy,Instant ,Attack    X = Influence ,Weapon,"If enemy is marked, add X to your attack roll. You may then remove Targets Mark and return this card to your hand. ",Discard,2 Level Points,7 perception,,
Focus On Execution,Self,X Rnds,X = Level,-,Roll X influence rolls and set those rolls aside. For each influence die set aside you may consume a token and then add an influence die to your roll.,Exhaust,Discovered Weakness ,Self,X Rnds,X = Level,-,"If a Target Enemy successfully blocks your attack, you may deal X damage to them.",Hand,2 Level Points,3 craftmanship 4 perception,,
Murderous Investment,Enemy,2 Rnds,,Weapon,At the end of the next round roll a d4 for every successful attack you made and deal that much damage to Target Enemy,Hand,Feigned Attack,Enemy,Instant,Attack,Weapon,"If your attack succeeds you may choose to deal no damage to the Target Enemy you attacked, and instead deal that damage to another Target Enemy in range of that attack.",Discard,2 Level Points,7 Finesse,,
Irritant,Enemy,Instant,Attack,Weapon,Target Enemy takes 1d4 damage,Hand,Backstab,Enemy,Instant,X = Level,Weapon,Target Enemy takes Xd4 in damage,Exhaust,2 Level Points,7 Finesse,,
Outgunned,Enemy,Instant,Attack,Weapon,Add 1d4 to your attack. You may choose to remove dice from your attack roll and then remove that many dice from Target Enemies defense roll,Discard,Breakdown Defense,Enemy,Instant ,Attack,Weapon,"You may remove one of your attack die from your attack roll; if you do, choose one of the enemies defense die and remove it from their defense roll and add it to your attack roll",Exhaust,2 Level Points,7 Strength,,
Defuse,Enemy,Instant,Attack,Weapon,"You may remove all attack die from your attack roll. If you do, remove all defense die from Targets defense roll",Hand,Armor Chink ,Enemy,Instant,Attack,Weapon,"You may remove dice from your attack roll. If you do, deal 1 damage to Target Enemy for each die you removed",Discard,2 Level Points,3 Strength  4 Finesse,,
Manipulate Target,Enemy,Instant ,Influence,Influence,If you succeed Target must make an attack against another Target if able. You may remove a mark to remove a influence die from their roll. ,Discard,Spread Fear,Enemy,Instant,Influence,Influence,"If you succeed you may mark Target. If you do they Roll Influence against another Target of your choice, and if they succeed that target gets a mark. This repeats until an influence roll fails or no more new targets exist",Exhaust,2 Level Points,4 Perception 3 Charisma,,
Precise Weakness,Enemy,X Rnds,X = Level,,"If you deal damage to a Target, that Target gets -1 to all defense and attack rolls they make against you.",Discard,Charge,Enemy,Instant,Attack,,You may move up to 20 feet if you are in your attack range after completing the movement. Attack Target Enemy.,Hand,2 Level Points,2 Strength 1 Craftsmanship 1 Vigor  3 Finese,,
Niche Trap,Enemy,Instant,,15 Feet,"Remove a Mark and Discard a card. You may choose to reduce one of Targets die down one set to a minimum of a 1d4, or you may choose to halve Targets movement rounded up. This effect wears off when Target rests.",Exhaust,Hunting Net,Enemy,Instant,,30,Discard a card. Target Enemy must take an action to remove the net before they can use movement in an action.,Hand,2 Level Points,2 Perception 5 Craftsmanship,,
Recycle Resources,Self,X Rnds,X = Level,,Each time you discard a card you may choose to instead loose X life and return that card to your hand.,Discard,Rigged Explosives,Area,Instant,Discard X cards Y = Level,30,"Create and throw X explosives, each one deals X + Y damage and has an affect radius of 5 feet from where they land.",Exhaust,2 Level Points,3 Knowledge 4 Craftsmanship,,
