Tier,ID,Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,New Card Names,Robin's Thoughts,Ory's Thoughts,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,Perception Requirements,Vigor Requirements,Finesse Requirements,Knowledge Requirements,Strength Requirements,Spirituality Requirements,Charisma Requirements,Craftmanship Requirements,New Card Names,Robin's Thoughts,Ory's Thoughts,
1,11,Lunging Strike,Enemy,Instant,Attack,Weapon,Increase range by 5 feet and movement by 15 feet,Discard,x,x,,Double Strike,Enemy,Instant,Attack ,Weapon,"if target has at least 1 attack token from you, you may attack the target a second time",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,12,Bolster,Self,1 Rnd,X = Level,-,Add X to next defense value,Discard,x,"similar to butter but is top, doesn't grant an attack",,Baited Bash,Self,1 Rnd,Defense,-,"If next defense value is greater than opposing attack value, attacker takes difference in damage",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,13,Bread,Self,Instant,X = Influence,-,"Add X to the next influence roll. Choose 1: add 25 movement, or return a target card from discard",Discard,x,"seems fine, though if people don't recognize that they also need to defend against influence rolls, some people might not see the point",,Butter,Enemy,1 Rnd,Attack    X = Level,Weapon,Either add X to next Attack Value or add X to your next Defense Value. ,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,"similar to encourage but adds level instead of influence, and works on self instead of ally, and gives an attack",,
1,14,Smoke Screen,Area,X Rnds,X = Level,-,"Pick a spot within X*5 feet. Creatures cannot see into, out of, or through a 15 ft. diameter area around this spot (No Sight applied)",Exhaust,x,x,,Break Sight,Enemy,1 Rnd,Influence,Influence,"On success, target cannot target you with more than one action on their turn",Hand,2 Level Points,N/A,0,0,0,0,0,0,0,0,Breaking Sight/Targeted Evasion,,,
1,15,Convince,Enemy,Instant,Influence,Influence,"On success, target is forced to perform one specific, 6-second duration, non-violent action on their next turn, up to GM discretion",Exhaust,Forcing Their Hand/Snag/Hitch,,,Foresight,Enemy,Instant,Influence,Influence,"On success, discard a card and gain knowledge of enemies actions",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,Foreknowledge/Read Like A Book/Good Guess,doesn't feel related to Convince particularly meaningfully,,
1,16,Imbued Strike,Enemy,Instant,Attack,Weapon,"If target bares one of your Attack Tokens, you may remove the token and attack the target again. ",Discard,Last Stab/Desperate Push/Flaming Fervor,,,Conservative Cost,Enemy,Instant,Attack    X = Damage Dealt,Weapon,Return X consumed tokens,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,Pay Day/Re-Use/Recycle/Second Wind/Once More,"except that they both use tokens, doesn't feel like it synergizes with Top ability",,
1,17,Pinned,Enemy,1 Rnd,Attack,Weapon,"If marked, target movement is reduced to 0, then remove a mark from the target",Discard,x,,,Murder Markings,Enemies,Instant,Attack  X = Influence,Weapon,"Attack up to X targets, if damage would be dealt mark them instead",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,18,Throw Projectiles,Enemy,Instant,Attack    X = Influence * 5,Weapon,Consume an Attack Token. Add X to your range for this turn,Discard,Focused Strike/Eagle Eye/Big Stretch/Wave Strike,,,Heavy Hit,Enemy,Instant,Attack    X = Influence,Weapon,"Consume an Attack Token, add X to attack",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,Weighty Strike/Huaaaggh!/Drop the Bass,,,
1,19,Demand Resilience,Ally,1 Rnd,Influence,Influence,Target adds your Influence Die to all their Defense Values,Exhaust,x,"similar to encourage but is top, only buffs defense, and lasts multiple rounds",,Demand Weakness,Enemy,Instant,Influence,Influence,On success move all of your placed tokens onto Target Enemy,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,20,Carry Over,Enemy,1 Rnd,"Attack    X = Attack Reduced, up to level",Weapon,Reduce this attack value by X. You may add X to your next attack value,Discard,"Building Momentum/Now, and Then../Carry the 1/The Left Before The Right",,,Wager,Enemy,Instant,"Attack    X = Attack Reduced, up to level",Weapon,"Reduce this attack value by X. If damage is still dealt, then deal 2*X damage to that target",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,Calculated Risk/Making a bet/Big Bet/When a Samurai Sheaths Their Sword and the other guy falls over,Wager is poor against enemies with high defense--no need to change it maybe? Needs rewording though-- Also feels very nickel-and-dimey unless we're talking about large values,,
1,21,Appear Aggressive,Enemy,1 Rnd,Influence,Influence,"On success, discard a card, and target cannot attack you",Discard,"""Try Me""/Intimidation/Peaceful Binding/Bound",Similar to Break Sight,,Appear Meek,Enemy,Instant,Influence,Influence,"On success, discard a card, and target must attack you with at least one action if you are in their range.",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,"""You get one""/I am your enemy/Forced strike/Effective Insult",,,
1,22,Summon the Many,Area,Day,Y = Level,Influence,Summon Y beings with 1 health. They deal Y unblockable damage. Their movement is 30 ft,Exhaust,x,,,Summon the One,Area,Day,X = Influence,Influence,Summon a being with X health. Its Attack/Defense Value is X. Its movement is equal to 30 ft,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,23,Painful Reflection,Self,Instant,X = Level    Y = Health Lost,-,"Lose up to X health points, return Y cards from discard",Exhaust,x,,,Re-Strategize,Self,Instant,,-,"Exhaust a card, exchange a card from discard with a card from your deck, which goes into discard.",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,24,Appetizer,Enemy,Instant,Attack    X = Level,Weapon,"If damage is dealt, target's next defense roll is reduced by X",Discard,Knocked Loose/Compell Weakness/The Fall Before the Fall,,,Order Up,Self,Instant,,-,"Recover a consumed Contact Token. if no Contact Tokens can be recovered, recover 2 cards from discard instead",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,Recharge/Accumulate/Soak Up/Gather Energy,,,
1,25,Cost of Living,Self,Instant,X = Cards discarded    Y = Level,-,"Discard X cards, heal for X+Y",Exhaust,Heat Sink/Priority Change/Emergency Surface/Dropping Ballast,,,Cycle Thoughts,Self,Instant,X = Cards discarded,-,"Discard X card, return X cards from discard",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,26,Quick Strike,Enemy,Instant,Attack,Weapon,Discard a card,Hand,x,,,Basic Strike,Enemy,Instant,Attack,Weapon,Attack target,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,kinda think this shouldn't exist? If we want our game to be interesting,,
1,27,Meal of the Marked,Enemy,Instant,Attack    X = Influence,Weapon,"If target is marked, add X to attack value. Heal for however much damage was dealt, if any, then remove a mark",Exhaust,x,,,Marked Mauling,Enemy,Instant,Attack,Weapon,"If target is marked, topple target and reduce their next defense by 1d4, then remove a mark",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,28,Weighted Slam,Enemy,Instant,Attack    X = Cards discarded,Weapon,"Add X to attack value. On damage being dealt, enemy is moved X*5 feet away from you",Discard,x,,,Blasting Box,Area,Instant,Attack    X = Cards discarded,Influence,Consume Attack Token. All targets in 5*X ft area roll Defense against the attack,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,,,
1,29,Dodge,Self,1 Rnd,X = Level,-,"When next attacked, first roll a die. If even, take no damage from that attack. If odd, add X to your Defense Value.",Discard,x,"similar to bolster, but only 50% effective",,Expect,Enemy,1 Rnd,Attack    X = Level,Weapon,If the targeted enemy attacks you before your next turn then add X to your Defense Value,Hand,2 Level Points,N/A,0,0,0,0,0,0,0,0,x,"similar to butter, but only works on specific enemy, returns to hand",,
1,30,Dissassociate,Enemy,1 Rnd,Attack,Weapon,"If your attack deals damage to Target, then that Targets next Influence Roll will use a reduced die down to a minimum of a 1d4",Hand,,,,Unsettled,Enemy,1 Rnd,Influence,Influence,On success targets next Attack or Defense die are reduced down to a minimum 1d4.,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,31,One for One,Enemy,1 Rnd,Attack,Weapon,"For next attack against you, if damage is taken, attack in response. Otherwise, return a target card from discard",Discard,,,,Now I'm Your Problem,Enemy,1 Rnd,Attack,Weapon,"For next attack against you, if no damage is taken, target is toppled",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,32,Hunter's Reward,Enemy,Instant,Attack    X = Attack Reduced,Weapon,"Reduce this attack value by X, if damage is still dealt then heal for X and deal X additional damage",Exhaust,,,,Enemy Spotted,Enemy,Instant,,Influence,Mark Target,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,33,Salt Circle,Enemy,1 Rnd,X = Level,Influence,All attacks against you are reduced by X. You may not attack with your other action,Hand,,,,Boney Curse,Enemy,Instant,Attack,Weapon,"If damage is dealt, target and targets within 5ft are marked",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,34,Changing Fate,Any,Instant,,Influence,Force a re-roll of target's next die roll,Hand,,,,Destiny Swap,Any,1 Rnd,,Influence,"Choose either:
1) lowest roll of target's next action is treated as max
2) highest roll of target's next action is treated as min",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,35,Teetotaler,Enemy,1 Rnd,Influence,Influence,"On success, target's next die roll is rolled twice, and the lower value must be used",Discard,,,,Still a Little Left,Self,Instant,,-,Use a consumable. It has a 50% chance of not being consumed,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,36,Sprint,Self,Instant,,-,Gain  30 ft. of movement,Hand,,,,Jump Pad,Area,1 Rnd,X = 5 * Level,Influence,"Select a direction. Select a space within 5ft of you. While active, anyone on that space may jump X ft in the selected direction",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,37,Reposition,Enemy,Instant,Attack,Weapon,"After your attack, gain 5 ft. of movement. This movement doesn't proc Overstep",Discard,,,,Coward's Ultimatum,Enemies,X Rnds,X = level,Influence,Gain 1 Overstep Attack per round,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,38,Nature's Insight,Animal,Instant,X = Influence    Y = level,Influence,"Effects depending on X:
1-3: cause Distraction on enemy
4-6: target attacks specified enemy for 1 turn
7+: target attacks specified enemy for Y rnds",Discard,,,,Seasonal Planning,Self,X Rnds,X = Level,-,Gain +1 to influence rolls,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,39,Land of Barbs,Area,X Rnds,X = level    Y = Influence * 5,Influence,"Square terrain of size Y (up to 30ft) is harmful: any movement into, out of, or through an area results in X damage for every 5 ft.",Exhaust,,,,Fibrous Hold,Enemy,1 Rnd,Influence,Influence,"On success, target's movement is set to 0, unless they spend an action attacking their bindings",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,40,Precision,Enemy,Instant,Attack    X = Level,Weapon,"If one of the die used for your Attack Value is less than X, you may reroll that die",Discard,,,,Beaten Bash,Enemy,Instant,Attack    X = Level,Weapon,Lose X life. ,Hand,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,41,Reply,Enemy,1 Rnd,Attack,Weapon,"In response to the next Overstep Attack made against you, attack the aggressor",Discard,,requires moving after this attack--otherwise is useless___weak,,Leap and Strike,Enemy,Instant,Attack    X = Cards in Discard * 5,Weapon,Gain X movement,Hand,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,42,Composed,Enemy,Instant,Attack,Weapon,If damage is dealt then return Target Card from the Discard Pile to your Hand,Discard,,,,Repeat,Enemy,Instant,Attack    X = Level,Weapon,"You may reroll your attack roll, if you do then discard a card. This can be repeated up to X times. ",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,43,Gain Confidence,Enemy,1 Rnd,Attack    X = Damage Dealt,Weapon,"After attacking target, add X to your next Defense Value",Discard,,"like butter but top, and add damage dealt instead of level",,Risky Maneuver,Enemy,1 Rnd,Attack    X = Level,Weapon,Add X to the Attack Value. Reduce your next Defense Value by X,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,44,Lockout,Enemy,1 Rnd,Attack,Weapon,If damage would be dealt then instead Target cannot gain Health points,Discard,,,,Knockout,Enemy,1 Rnd,Attack,Weapon,If Attack Value is greater than or equal to double Target Defense Value then instead Target Skips their next turn and no damage is dealt,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,45,Savage Strike,Enemy,X Rnds,Attack    X = Level,Weapon,You may consume an influence token to remove one defense die from the enemy's defense rolls for this attack,Exhaust,,,,Embody,Self,X Rnds,X = Level,-,Your flesh hardens adding X to all Defense Values,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,"similar to butter, but doesn't give an attack, lasts multiple rounds, and exhausts",,
1,46,Battlefield Assesment,Area,Instant,X = Enemies in Area,Influence,Select an area that is 25 feet by 25 feet. Discard X cards. You may move any tokens placed on Target Enemies to other Targeted Enemies.,Discard,,,,Adjust Threat,Enemy,Instant,Influence,Influence,On success you may return any amount of your tokens on Target Enemy,Hand,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,47,Guardians Shell,Self,X Rnds,X = Level    Y = X * 5,-,Conform the space around you to encapsulate you in a shell. While in the shell you cannot see out. The shell has Y health.,Exhaust,,,,Cement In ,Enemy,X Rnds,Influence    X = Level,Influence,"On success, the enemy is encapsulated in a shell. The shell has X life. While the Target is in the shell they cannot see out. ",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,48,Safety in Numbers,Self,X Rnds,X = Level,-,Create an aura on you that is 15 feet in diameter. All allies in this add X to their Defense Value,Exhaust,,"similar to demand resiliance, but applies to multiple (self + allies), add level instead of influence, lasts multiple rounds, and exhausts",,Approach with Caution,Self,X Rnds,X = Level,-,Create an aura on you that is 15 feet in diameter. Any enemy that walks into the aura takes X damage.,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,49,Friend,Self,X Rnds,X = Level    Y = Influence + X,-,Summon a similar sized object/creature within 5 feet of you. It has no movement. Its Health is Y and it heals for X per turn. It has no attack/defense/influence die. If you take damage instead the summon takes the damage. ,Exhaust,,,,Blood Friend,Enemy,X Rnds,X = Level,Influence,Place a summon within 5 feet of Target. The Summon has health and die equal to yours. While this Summon is active you cannot roll for Attack values.,Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,50,Keen Eye,Self,X Rnds,X = Level,-,"If an enemy moves in or out of your range, then respond with an attack",Exhaust,,,,Threaten,Enemy,X Rnds,X = Level    Y = Influence,Weapon,If Target moves in or out of range then attack Target and add Y to the Attack Value,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,51,Pocket Sand,Enemy,1 Rnd,Influence,Influence,"On success, target cannot make any Overstep Attacks",Discard,,,,Slippery Escape,Area,X Rnds,X = Level,-,Pick an adjacent 5 ft. square. Movement through this space consumes an additional 10 ft. of movement,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,52,Mistaken Step,Area,X Rnds,X = Level    Y = Influence,Influence,Exhaust a card. Pick an adjacent 5 ft. square. The next creature entering this area takes Y damage for X rnds,Discard,,,,Trap,Area,1 Day,Y = 3 * Level,-,Pick an adjacent 5 ft. square. The next creature entering this area takes Y damage,Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,53,Explosive Rebuke,Enemy,Instant,Attack    X = Level    Y = 1/2 damage received,Weapon,"If damaged in previous round, from an enemy's attack, add X & Y to attack",Discard,,,,Quaking Fury,Enemy,Instant,Attack,Weapon,"If damage is dealt, Enemy movement is reduced by 10 ft next round",Discard,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
1,54,Tagging in,Ally,Instant,X = level,-,"if adjacent to ally, swap places with them. Add X to next defense or attack value",Discard,,"like demand resiliance but adds level instead of influence, and swaps places",,Tagging out,Ally,Instant,X = level,-,"if adjacent to ally, swap places with them. Heal for X",Exhaust,2 Level Points,N/A,0,0,0,0,0,0,0,0,,,,
