Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,New Card Names,Robin's Thoughts,Ory's Thoughts,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,New Card Names,Robin's Thoughts,Ory's Thoughts,General Notes
Composed,Enemy,Instant,Attack,weapon,If damage is dealt then return Target Card from the Discard Pile to your Hand,Discard,,,,Repeat,Enemy,Instant,Attack    X = Level,weapon,"You may reroll your attack roll, if you do then discard a card. This can be repeated up to X times. ",Discard,1 Skill Point,N/A,,,,
Gain Confidence,Enemy,1 Rnd,Attack    X = Damage Dealt,weapon,"After attacking target, add X to your next Defense Value",Discard,,,,Risky Maneuver,Enemy,1 Rnd,Attack    X = Level,weapon,Add X to the Attack Value. Reduce your next Defense Value by X,Discard,1 Health,N/A,,,,
Lockout,Enemy,1 Rnd,Attack,weapon,If damage would be dealt then instead Target cannot gain Health points,Discard,,,,Knockout,Enemy,1 Rnd,Attack,weapon,If Attack Value is greater than or equal to double Target Defense Value then instead Target Skips their next turn and no damage is dealt,Exhaust,1 Skill Point,N/A,,,,
Savage Strike,Enemy,X Rnds,Attack    X = Level,weapon,You may consume an influence token to remove one defense die from the enemy's defense rolls for this attack,Exhaust,,,,Embody,Self,X Rnds,X = Level,na,Your flesh hardens adding X to all Defense Values,Exhaust,1 Skill Point,N/A,,,,
Battlefield Assesment,Area,Instant,X = Enemies in Area,influence,Select an area that is 25 feet by 25 feet. Discard X cards. You may move any tokens placed on Target Enemies to other Targeted Enemies.,Discard,,,,Adjust Threat,Enemy,Instant,Influence,influence,On success you may return any amount of your tokens on Target Enemy,Hand,1 Skill Point,N/A,,,,
Guardians Shell,Self,X Rnds,X = Level    Y = X * 5,na,Conform the space around you to encapsulate you in a shell. While in the shell you cannot see out. The shell has Y health.,Exhaust,,,,Cement In ,Enemy,X Rnds,Influence    X = Level,influence,"On success, the enemy is encapsulated in a shell. The shell has X life. While the Target is in the shell they cannot see out. ",Exhaust,1 Skill Point,N/A,,,,
Safety in Numbers,Self,X Rnds,X = Level,na,Create an aura on you that is 15 feet in diameter. All allies in this add X to their Defense Value,Exhaust,,,,Approach with Caution,Self,X Rnds,X = Level,na,Create an aura on you that is 15 feet in diameter. Any enemy that walks into the aura takes X damage.,Exhaust,1 Skill Point,N/A,,,,
Friend,Self,X Rnds,X = Level    Y = Influence + X,na,Summon a similar sized object/creature within 5 feet of you. It has no movement. Its Health is Y and it heals for X per turn. It has no attack/defense/influence die. If you take damage instead the summon takes the damage. ,Exhaust,,,,Blood Friend,Enemy,X Rnds,X = Level,influence,Summon a human sized object/creature within 5 feet of Target. The Summon has health and die equal to yours. While this Summon is active you cannot roll for Attack values.,Exhaust,1 Skill Point,N/A,,,,
Keen Eye,Self,X Rnds,X = Level,na,"If an enemy moves in or out of your range, then respond with an attack",Exhaust,,,,Threaten,Enemy,X Rnds,X = Level    Y = Influence,weapon,If Target moves in or out of range then attack Target and add Y to the Attack Value,Discard,1 Health,N/A,,,,
Pocket Sand,Enemy,1 Rnd,Influence,influence,"On success, target cannot make any Overstep Attacks",Discard,,,,Slippery Escape,Area,X Rnds,X = Level,na,Pick an adjacent 5 ft. square. Movement through this space consumes an additional 10 ft. of movement,Discard,1 Skill Point,N/A,,,,
Mistaken Step,Area,X Rnds,X = Level    Y = Influence,influence,Exhaust a card. Pick an adjacent 5 ft. square. The next creature entering this area takes Y damage for X rnds,Discard,,,,Trap,Area,1 Day,Y = 3 * Level,na,Pick an adjacent 5 ft. square. The next creature entering this area takes Y damage,Discard,1 Skill Point,N/A,,,,
Explosive Rebuke,Enemy,Instant,Attack    X = Level    Y = 1/2 damage received,weapon,"If damaged in previous round, from an enemy's attack, add X & Y to attack",Discard,,,,Quaking Fury,Enemy,Instant,Attack,weapon,"If damage is dealt, Enemy movement is reduced by 10 ft next round",Discard,1 Health,N/A,,,,
Tagging in,Ally,Instant,X = level,na,"if adjacent to ally, swap places with them. Add X to next defense or attack value",Discard,,,,Tagging out,Ally,Instant,X = level,na,"if adjacent to ally, swap places with them. Heal for X",Exhaust,1 Skill Point,N/A,,,,
